ID операции	Дата аренды	ID автомобиля	ID клиента	Сумма аренды, руб.	Претензии	
259	05.03.20	A32	7	267	нет	
260	05.03.20	A65	6	431	к клиенту	
261	06.03.20	A23	2	367	нет	
262	06.03.20	A22	3	283	нет	
263	06.03.20	A31	12	210	нет	
264	06.03.20	A5	12	367	нет	
265	07.03.20	A5	5	385	нет	
266	07.03.20	A45	13	433	нет	
267	07.03.20	A53	12	103	нет	
268	07.03.20	A30	8	167	нет	
269	08.03.20	A41	7	194	нет	
270	08.03.20	A21	14	302	нет	
271	08.03.20	A64	15	438	нет	
272	08.03.20	A29	9	270	нет	
273	09.03.20	A59	14	88	нет	
274	09.03.20	A5	10	416	нет	
275	09.03.20	A19	1	140	нет	
276	09.03.20	A22	3	134	нет	
277	10.03.20	A23	11	268	нет	
278	10.03.20	A50	13	368	нет	
279	10.03.20	A10	1	83	нет	
280	10.03.20	A54	10	122	нет	
281	11.03.20	A21	10	306	нет	
282	11.03.20	A56	11	349	нет	
283	11.03.20	A57	3	116	нет	
284	11.03.20	A22	15	112	нет	
285	12.03.20	A47	5	420	нет	
286	12.03.20	A46	6	385	нет	
287	12.03.20	A39	15	414	нет	
288	12.03.20	A18	6	298	нет	
289	13.03.20	A11	8	315	нет	
290	13.03.20	A6	10	364	нет	
291	13.03.20	A33	6	350	нет	
292	13.03.20	A27	2	110	нет	
293	14.03.20	A26	15	354	нет	
294	14.03.20	A26	5	323	нет	
295	14.03.20	A10	3	321	нет	
296	14.03.20	A61	14	207	нет	
297	15.03.20	A48	14	403	нет	
298	15.03.20	A5	6	134	нет	
299	15.03.20	A26	12	328	нет	
300	15.03.20	A3	6	318	нет	
301	16.03.20	A43	15	418	нет	
302	16.03.20	A61	10	275	нет	
303	16.03.20	A6	5	262	нет	
304	16.03.20	A15	6	289	нет	
305	17.03.20	A28	6	434	нет	
306	17.03.20	A15	2	180	нет	
307	17.03.20	A1	11	334	нет	
308	17.03.20	A40	1	139	нет	
309	18.03.20	A34	3	405	нет	
310	18.03.20	A52	11	341	нет	
311	18.03.20	A7	11	200	нет	
312	18.03.20	A44	4	254	нет	
313	19.03.20	A25	12	450	нет	
314	19.03.20	A4	13	418	нет	
315	19.03.20	A28	9	264	нет	
316	19.03.20	A17	10	253	нет	
317	20.03.20	A15	5	70	нет	
318	20.03.20	A47	12	85	нет	
319	20.03.20	A48	7	272	нет	
320	20.03.20	A45	11	212	нет	
321	21.03.20	A47	7	194	нет	
322	21.03.20	A63	8	336	нет	
323	21.03.20	A24	13	201	нет	
324	21.03.20	A6	15	390	нет	
325	22.03.20	A41	1	106	нет	
326	22.03.20	A65	15	221	нет	
327	22.03.20	A20	2	299	нет	
328	22.03.20	A63	4	266	нет	
329	23.03.20	A24	14	389	нет	
330	23.03.20	A57	8	410	нет	
331	23.03.20	A16	5	435	нет	
332	23.03.20	A33	8	366	нет	
333	24.03.20	A9	6	311	нет	
334	24.03.20	A5	7	197	нет	
335	24.03.20	A62	9	314	нет	
336	24.03.20	A32	4	321	нет	
337	25.03.20	A40	13	102	нет	
338	25.03.20	A24	11	256	нет	
339	25.03.20	A47	9	401	нет	
340	25.03.20	A50	9	240	нет	
341	26.03.20	A15	15	345	нет	
342	26.03.20	A53	1	205	нет	
343	26.03.20	A40	7	374	нет	
344	26.03.20	A61	10	388	нет	
345	27.03.20	A14	8	364	нет	
346	27.03.20	A18	13	159	нет	
347	27.03.20	A2	1	90	нет	
348	27.03.20	A26	4	429	нет	
349	28.03.20	A45	14	366	нет	
350	28.03.20	A20	1	225	нет	
351	28.03.20	A27	4	250	нет	
352	28.03.20	A19	9	377	нет	
353	29.03.20	A28	3	408	нет	
354	29.03.20	A39	12	422	нет	
355	29.03.20	A21	15	190	нет	
356	29.03.20	A55	12	192	нет	
357	30.03.20	A25	8	339	нет	
358	30.03.20	A62	7	383	нет	
359	30.03.20	A14	5	117	нет	
360	30.03.20	A19	6	409	нет	
361	31.03.20	A19	6	282	нет	
362	31.03.20	A15	12	389	нет	
363	31.03.20	A33	12	160	нет	
364	31.03.20	A27	14	108	нет	
365	01.04.20	A36	2	93	нет	
366	01.04.20	A16	9	229	нет	
367	01.04.20	A9	4	129	нет	
368	01.04.20	A22	6	302	нет	
369	02.04.20	A24	4	207	нет	
370	02.04.20	A37	4	279	нет	
371	02.04.20	A7	6	91	нет	
372	02.04.20	A9	12	448	нет	
373	03.04.20	A39	2	133	нет	
374	03.04.20	A49	9	287	нет	
375	03.04.20	A7	13	338	нет	
376	03.04.20	A4	4	374	нет	
377	04.04.20	A9	9	385	нет	
378	04.04.20	A15	3	404	нет	
379	04.04.20	A30	14	393	нет	
380	04.04.20	A30	15	319	нет	
381	05.04.20	A59	8	99	нет	
382	05.04.20	A34	12	75	нет	
383	05.04.20	A26	14	203	нет	
384	05.04.20	A17	9	422	нет	
385	06.04.20	A56	4	429	нет	
386	06.04.20	A43	11	136	нет	
387	06.04.20	A37	1	426	нет	
388	06.04.20	A26	6	414	нет	
389	07.04.20	A1	13	334	нет	
390	07.04.20	A32	4	105	нет	
391	07.04.20	A30	6	348	нет	
392	07.04.20	A57	13	314	нет	
393	08.04.20	A62	14	164	нет	
394	08.04.20	A31	1	379	нет	
395	08.04.20	A48	12	163	нет	
396	08.04.20	A41	11	247	нет	
397	09.04.20	A2	1	404	нет	
398	09.04.20	A28	8	217	нет	
399	09.04.20	A6	5	157	нет	
400	09.04.20	A36	15	419	нет	
401	10.04.20	A15	13	215	нет	
402	10.04.20	A56	13	160	нет	
403	10.04.20	A5	5	214	нет	
404	10.04.20	A25	15	293	нет	
405	11.04.20	A49	2	99	нет	
406	11.04.20	A32	12	94	нет	
407	11.04.20	A12	13	360	нет	
408	11.04.20	A15	4	176	нет	
409	12.04.20	A5	3	225	нет	
410	12.04.20	A28	6	180	нет	
411	12.04.20	A41	3	274	нет	
412	12.04.20	A57	2	175	нет	
413	13.04.20	A5	5	401	нет	
414	13.04.20	A39	1	358	нет	
415	13.04.20	A25	12	206	нет	
416	13.04.20	A41	5	198	нет	
417	14.04.20	A35	6	428	нет	
418	14.04.20	A27	8	221	нет	
419	14.04.20	A1	11	179	нет	
420	14.04.20	A30	14	221	нет	
421	15.04.20	A53	12	370	нет	
422	15.04.20	A40	3	417	нет	
423	15.04.20	A25	4	227	нет	
424	15.04.20	A35	3	71	нет	
425	16.04.20	A50	14	260	нет	
426	16.04.20	A59	5	214	нет	
427	16.04.20	A60	2	108	нет	
428	16.04.20	A8	6	347	нет	
429	17.04.20	A22	3	450	нет	
430	17.04.20	A38	9	176	нет	
431	17.04.20	A7	2	309	нет	
432	17.04.20	A13	3	340	нет	
433	18.04.20	A34	11	450	нет	
434	18.04.20	A9	8	171	нет	
435	18.04.20	A62	9	102	нет	
436	18.04.20	A53	4	102	нет	
437	19.04.20	A8	6	129	нет	
438	19.04.20	A9	13	157	нет	
439	19.04.20	A53	13	247	нет	
440	19.04.20	A37	3	109	нет	
441	20.04.20	A21	7	319	нет	
442	20.04.20	A44	3	271	нет	
443	20.04.20	A59	7	123	нет	
444	20.04.20	A62	10	144	нет	
445	21.04.20	A28	8	74	нет	
446	21.04.20	A27	11	445	нет	
447	21.04.20	A39	5	279	нет	
448	21.04.20	A10	15	178	нет	
449	22.04.20	A37	6	169	нет	
450	22.04.20	A53	7	401	нет	
451	22.04.20	A31	11	180	нет	
452	22.04.20	A41	11	155	нет	
453	23.04.20	A37	8	278	нет	
454	23.04.20	A17	10	101	нет	
455	23.04.20	A43	14	221	нет	
456	23.04.20	A2	1	133	нет	
457	24.04.20	A16	9	103	нет	
458	24.04.20	A53	9	251	нет	
459	24.04.20	A61	3	106	нет	
460	24.04.20	A33	2	347	нет	
461	25.04.20	A24	8	216	нет	
462	25.04.20	A9	12	299	нет	
463	25.04.20	A38	12	139	нет	
464	25.04.20	A58	3	72	нет	
465	26.04.20	A25	10	178	нет	
466	26.04.20	A64	1	214	нет	
467	26.04.20	A55	8	232	нет	
468	26.04.20	A24	4	341	нет	
469	27.04.20	A62	3	266	нет	
470	27.04.20	A34	2	420	нет	
471	27.04.20	A24	14	103	нет	
472	27.04.20	A55	2	232	нет	
473	28.04.20	A27	15	118	нет	
474	28.04.20	A65	14	196	нет	
475	28.04.20	A50	14	123	нет	
476	28.04.20	A44	13	321	нет	
477	29.04.20	A18	9	446	нет	
478	29.04.20	A62	9	83	нет	
479	29.04.20	A24	10	379	нет	
480	29.04.20	A16	12	262	нет	
481	30.04.20	A10	7	313	нет	
482	30.04.20	A56	14	428	нет	
483	30.04.20	A62	2	120	нет	
484	30.04.20	A50	3	121	нет	
485	01.05.20	A26	5	318	нет	
486	01.05.20	A48	10	445	нет	
487	01.05.20	A1	5	288	нет	
488	01.05.20	A17	1	441	нет	
489	02.05.20	A31	6	318	нет	
490	02.05.20	A50	11	214	нет	
491	02.05.20	A6	5	135	нет	
492	02.05.20	A34	10	268	нет	
493	03.05.20	A14	6	336	нет	
494	03.05.20	A3	12	439	нет	
495	03.05.20	A36	4	313	нет	
496	03.05.20	A15	5	429	нет	
497	04.05.20	A26	6	208	нет	
498	04.05.20	A50	5	366	нет	
499	04.05.20	A3	14	187	нет	
500	04.05.20	A61	15	165	нет	
501	05.05.20	A43	6	338	нет	
502	05.05.20	A56	8	101	нет	
503	05.05.20	A47	10	188	нет	
504	05.05.20	A57	2	267	нет	
505	06.05.20	A1	11	157	нет	
506	06.05.20	A28	2	90	нет	
507	06.05.20	A42	4	281	нет	
508	06.05.20	A13	6	395	нет	
509	07.05.20	A42	1	152	нет	
510	07.05.20	A55	2	147	нет	
511	07.05.20	A22	13	246	нет	
512	07.05.20	A15	12	356	нет	
513	08.05.20	A7	9	358	нет	
514	08.05.20	A18	9	350	нет	
515	08.05.20	A25	1	107	нет	
516	08.05.20	A6	11	157	нет	
517	09.05.20	A37	7	130	нет	
518	09.05.20	A50	5	87	нет	
519	09.05.20	A36	10	268	нет	
520	09.05.20	A52	2	414	нет	
521	10.05.20	A36	14	291	нет	
522	10.05.20	A17	7	248	нет	
523	10.05.20	A8	10	286	нет	
524	10.05.20	A8	5	276	нет	
525	11.05.20	A34	15	178	нет	
526	11.05.20	A3	9	331	нет	
527	11.05.20	A1	8	214	нет	
528	11.05.20	A30	12	450	нет	
529	12.05.20	A10	6	289	нет	
530	12.05.20	A14	3	369	нет	
531	12.05.20	A5	9	403	нет	
532	12.05.20	A7	11	245	нет	
533	13.05.20	A28	12	150	нет	
534	13.05.20	A35	12	197	нет	
535	13.05.20	A16	10	156	нет	
536	13.05.20	A20	1	325	нет	
537	14.05.20	A16	4	102	нет	
538	14.05.20	A48	11	133	нет	
539	14.05.20	A32	10	300	нет	
540	14.05.20	A63	8	183	нет	
541	15.05.20	A64	8	345	нет	
542	15.05.20	A19	9	377	нет	
543	15.05.20	A20	6	331	нет	
544	15.05.20	A41	10	422	нет	
545	16.05.20	A55	5	171	нет	
546	16.05.20	A27	5	130	нет	
547	16.05.20	A24	15	246	нет	
548	16.05.20	A20	4	267	нет	
549	17.05.20	A15	1	332	нет	
550	17.05.20	A39	10	223	нет	
551	17.05.20	A13	12	400	нет	
552	17.05.20	A32	3	95	нет	
553	18.05.20	A32	2	448	нет	
554	18.05.20	A38	5	70	нет	
555	18.05.20	A4	11	251	нет	
556	18.05.20	A7	2	116	нет	
557	19.05.20	A23	11	411	нет	
558	19.05.20	A55	7	385	нет	
559	19.05.20	A37	3	418	нет	
560	19.05.20	A48	8	329	нет	
561	20.05.20	A2	11	367	нет	
562	20.05.20	A49	9	398	нет	
563	20.05.20	A2	1	344	нет	
564	20.05.20	A63	5	449	нет	
565	21.05.20	A9	8	139	нет	
566	21.05.20	A36	2	284	нет	
567	21.05.20	A10	1	241	нет	
568	21.05.20	A59	2	183	нет	
569	22.05.20	A26	6	384	нет	
570	22.05.20	A16	8	203	нет	
571	22.05.20	A29	14	208	нет	
572	22.05.20	A45	10	127	нет	
573	23.05.20	A5	4	439	нет	
574	23.05.20	A49	13	77	нет	
575	23.05.20	A9	2	72	нет	
576	23.05.20	A65	15	418	нет	
577	24.05.20	A29	12	399	нет	
578	24.05.20	A14	13	70	нет	
579	24.05.20	A51	7	360	нет	
580	24.05.20	A12	8	90	нет	
581	25.05.20	A53	8	152	нет	
582	25.05.20	A47	11	204	нет	
583	25.05.20	A7	10	125	нет	
584	25.05.20	A4	13	340	нет	
585	26.05.20	A12	1	162	нет	
586	26.05.20	A24	2	340	нет	
587	26.05.20	A8	12	317	нет	
588	26.05.20	A51	3	169	нет	
589	27.05.20	A16	7	227	нет	
590	27.05.20	A43	15	78	нет	
591	27.05.20	A34	14	447	нет	
592	27.05.20	A49	1	404	нет	
593	28.05.20	A54	10	411	нет	
594	28.05.20	A44	7	300	нет	
595	28.05.20	A11	1	428	нет	
596	28.05.20	A15	2	214	нет	
597	29.05.20	A8	1	372	нет	
598	29.05.20	A51	7	342	нет	
599	29.05.20	A6	10	391	нет	
600	29.05.20	A29	6	216	нет	
601	30.05.20	A37	15	168	нет	
602	30.05.20	A54	4	255	нет	
603	30.05.20	A46	4	193	нет	
604	30.05.20	A45	1	140	нет	
605	31.05.20	A25	1	307	нет	
606	31.05.20	A8	9	342	нет	
607	31.05.20	A37	15	333	нет	
608	31.05.20	A37	13	408	нет	
609	01.06.20	A41	10	364	нет	
610	01.06.20	A36	7	402	нет	
611	01.06.20	A17	14	431	нет	
612	01.06.20	A54	1	332	нет	
613	02.06.20	A37	9	255	нет	
614	02.06.20	A60	12	230	нет	
615	02.06.20	A46	10	241	нет	
616	02.06.20	A19	10	190	нет	
617	03.06.20	A37	8	355	нет	
618	03.06.20	A12	1	310	нет	
619	03.06.20	A35	15	142	нет	
620	03.06.20	A48	8	88	нет	
621	04.06.20	A8	12	313	нет	
622	04.06.20	A26	5	142	нет	
623	04.06.20	A44	4	368	нет	
624	04.06.20	A48	2	293	нет	
625	05.06.20	A42	10	293	нет	
626	05.06.20	A5	10	232	нет	
627	05.06.20	A61	14	98	нет	
628	05.06.20	A20	3	340	нет	
629	06.06.20	A16	10	243	нет	
630	06.06.20	A5	7	70	нет	
631	06.06.20	A39	12	138	нет	
632	06.06.20	A23	10	213	нет	
633	07.06.20	A58	11	371	нет	
634	07.06.20	A57	1	409	нет	
635	07.06.20	A30	1	192	нет	
636	07.06.20	A3	1	444	нет	
637	08.06.20	A6	9	207	нет	
638	08.06.20	A24	15	301	нет	
639	08.06.20	A52	9	178	нет	
640	08.06.20	A43	7	380	нет	
641	09.06.20	A9	13	122	нет	
642	09.06.20	A31	9	349	нет	
643	09.06.20	A9	1	335	нет	
644	09.06.20	A33	4	156	нет	
645	10.06.20	A41	2	433	нет	
646	10.06.20	A27	8	129	нет	
647	10.06.20	A28	8	253	нет	
648	10.06.20	A20	6	398	нет	
649	11.06.20	A40	7	289	нет	
650	11.06.20	A60	8	325	нет	
651	11.06.20	A5	7	415	нет	
652	11.06.20	A63	12	267	нет	
653	12.06.20	A28	10	323	нет	
654	12.06.20	A1	7	372	нет	
655	12.06.20	A41	4	160	нет	
656	12.06.20	A46	11	161	нет	
657	13.06.20	A64	12	206	нет	
658	13.06.20	A47	10	412	нет	
659	13.06.20	A64	7	97	нет	
660	13.06.20	A17	1	220	нет	
661	14.06.20	A23	1	397	нет	
662	14.06.20	A24	8	149	нет	
663	14.06.20	A1	1	276	нет	
664	14.06.20	A15	1	199	нет	
665	15.06.20	A44	15	148	нет	
666	15.06.20	A64	8	418	нет	
667	15.06.20	A59	1	206	нет	
668	15.06.20	A15	14	285	нет	
669	16.06.20	A2	1	198	нет	
670	16.06.20	A45	4	133	нет	
671	16.06.20	A20	2	128	нет	
672	16.06.20	A58	11	349	нет	
673	17.06.20	A46	12	359	нет	
674	17.06.20	A54	6	202	нет	
675	17.06.20	A53	4	449	нет	
676	17.06.20	A49	11	329	нет	
677	18.06.20	A64	5	309	нет	
678	18.06.20	A32	14	188	нет	
679	18.06.20	A46	2	161	нет	
680	18.06.20	A16	1	220	нет	
681	19.06.20	A25	14	342	нет	
682	19.06.20	A34	5	344	нет	
683	19.06.20	A15	10	447	нет	
684	19.06.20	A22	10	357	нет	
685	20.06.20	A3	12	245	нет	
686	20.06.20	A59	4	343	нет	
687	20.06.20	A36	3	300	нет	
688	20.06.20	A37	7	231	нет	
689	21.06.20	A38	13	326	нет	
690	21.06.20	A60	3	414	нет	
691	21.06.20	A37	11	242	нет	
692	21.06.20	A54	12	187	нет	
693	22.06.20	A47	3	397	нет	
694	22.06.20	A54	13	409	нет	
695	22.06.20	A26	9	428	нет	
696	22.06.20	A32	5	257	нет	
697	23.06.20	A5	15	101	нет	
698	23.06.20	A14	14	98	нет	
699	23.06.20	A40	9	156	нет	
700	23.06.20	A8	11	200	нет	
701	24.06.20	A34	2	252	нет	
702	24.06.20	A46	1	276	нет	
703	24.06.20	A28	8	376	нет	
704	24.06.20	A58	14	430	нет	
705	25.06.20	A16	4	74	нет	
706	25.06.20	A63	6	160	нет	
707	25.06.20	A25	4	348	нет	
708	25.06.20	A2	15	104	нет	
709	26.06.20	A34	10	122	нет	
710	26.06.20	A6	10	300	нет	
711	26.06.20	A29	2	80	нет	
712	26.06.20	A4	9	130	нет	
713	27.06.20	A9	5	238	нет	
714	27.06.20	A30	3	264	нет	
715	27.06.20	A19	9	212	нет	
716	27.06.20	A17	13	123	нет	
717	28.06.20	A27	3	105	нет	
718	28.06.20	A8	5	286	нет	
719	28.06.20	A37	10	409	нет	
720	28.06.20	A24	8	232	нет	
721	29.06.20	A17	3	331	нет	
722	29.06.20	A22	13	381	нет	
723	29.06.20	A12	10	107	нет	
724	29.06.20	A61	4	357	нет	
725	30.06.20	A56	4	342	нет	
726	30.06.20	A23	11	169	нет	
727	30.06.20	A36	3	73	нет	
728	30.06.20	A4	8	297	нет	
729	01.07.20	A15	7	373	нет	
730	01.07.20	A54	6	160	нет	
731	01.07.20	A22	12	109	нет	
